"id","ground_truth","GPT5_predicted","GPT4_predicted","correct_label","possible_reason_GPT5","possible_reason_GPT4","description"
"10","Time","Network","Test order dependency","","","","This PR allows SparkQA (i.e. Jenkins) to report in its posts to GitHub what category of test failed, if one can be determined.  The failure categories are: - general failure - RAT checks failed - Scala style checks failed - Python style checks failed - Build failed - Spark unit tests failed - PySpark unit tests failed - MiMa checks failed  This PR also fixes the diffing logic used to determine if a patch introduces new classes."
"11","Time","Unordered collections","Concurrency","","","","Since python does not have a library for max heap and usual tricks like inverting values etc.. does not work for all cases.   We have our own implementation of max heap."
"15","Time","Network","Network","","","","Add address and/or port to errors where applicable for better reporting.  See joyent/node#7005 and #16"
"16","Test order dependency","I/O","I/O","","","","Given my home-directory is `/Users/rocko` - and I have a file named `npm.json` in it and also a repository with name `npm`, which is a folder for the node-module.  When try to require the `/Users/rocko/npm/index.js` two direcotry levels down in the npm folder (e.g. `/Users/rocko/npm/test/tap`) with require(""../../"") node will load `/Users/rocko/npm/index.json`.  When I use require(""../.."") node will load `/Users/rocko/npm.json` which is fixed by this commit.  Original PR: https://github.com/joyent/node/pull/7094"
"17","Resource leak","Time","OS","","","","No out-of-tree patches, yay!  R=@indutny"
"19","Resource leak","Network","Network","","","","- **Google Hangouts Video**: http://www.youtube.com/watch?v=Z0KHYPlFI3E - **GitHub Issue**: https://github.com/iojs/io.js/issues/300 - **Original Minutes Google Doc**: https://docs.google.com/document/d/1HDUayYxTjolYZhu_hGm9hc-6MGAwWrHlNGT2Zo708ck"
"20","Async wait","OS","Network","","","","There was a couple of errors on the dev script preventing it to work properly. I also merged this with the open pr I had for adding `next/css`"
"27","Async wait","Unordered collections","Network","","","","@StephanEwen, @aljoscha: Can someone please confirm that this is the place to disable the POJO types?  There are various issues when working with POJOs in the Java API, for example [1].  [1] https://mail-archives.apache.org/mod_mbox/incubator-flink-dev/201407.mbox/%3C53D96049.1060509%40cse.uta.edu%3E"
"30","Async wait","I/O","OS","","","","We currently use `package.json` for our configuration. I think we should move away from using `package.json` and use something like `next.config.js` since it gives us more power than JSON.    An example is the issue for custom Webpack support: https://github.com/zeit/next.js/issues/40.  With a config like this you could do this for example:    ```js  // next.config.js    export default {    webpack: (webpackConfig) => {      const newConfig = { ...webpackConfig };      newConfig.module.preloaders.push({ test: /\.js$/, loader: 'eslint-loader' });      return newConfig;    },    cdn: false  }  ```    Which is in my opinion better than creating a new file for webpack since this is more centralised. This does however still give users the option to use different files, for the webpack example:    ```js  // next.config.js    export default {    webpack: require('./webpack').default,    cdn: false  }  ```    These are just my thoughts, I found out that I needed a sort of config file in `.js` when starting a PR for this project. Very curious what others think of this 😄."
"31","Async wait","OS","Floating point operations","","","","The StringComparator now works on serialized data.  To this end new string read/write/copy/compare methods were introduced, which use a variable-length encoding for the characters.  ~~key-points:~~   ~~\- The most significant bits are written/read first.~~   ~~\- The first 2 bits of the character are used to encode the size of the character.~~  ~~\- A character is at most 3 Bytes big.~~  Additionally, the StringSerializer now has full unicode support. ~~i couldn't find a unicode character that ~~uses more than 22 bits, as such 3 Bytes should be sufficient.~~"
"32","Concurrency","Time","Time","","","","[PR Linked Issue] Platforms: linux, rocm, slow      This test was disabled because it is failing in CI. See [recent examples](https://hud.pytorch.org/flakytest?name=test_aoti_fx_add&suite=AOTFxirTestCase&limit=100) and the most recent trunk [workflow logs](https://github.com/pytorch/pytorch/runs/49795173420).    Over the past 6 hours, it has been determined flaky in 10 workflow(s) with 20 failures and 10 successes.    **Debugging instructions (after clicking on the recent samples link):**   DO NOT ASSUME THINGS ARE OKAY IF THE CI IS GREEN. We now shield flaky tests from developers so CI will thus be green but it will be harder to parse the logs.   To find relevant log snippets:   1. Click on the workflow logs linked above   2. Click on the Test step of the job so that it is expanded. Otherwise, the grepping will not work.   3. Grep for `test_aoti_fx_add`   4. There should be several instances run (as flaky tests are rerun in CI) from which you can study the logs.         Test file path: `inductor/test_fxir_backend.py`    For all disabled tests (by GitHub issue), see https://hud.pytorch.org/disabled.  cc @clee2000 @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben"
"33","Test order dependency","Unordered collections","Unordered collections","","","","Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom): * __->__ #143878 * #143865  Summary: Test erroneously assumed that input/output sizes are same and that all states are matchable.  Fixes issue #143798  Test Plan: Test passes  Reviewers Test passes  cc @H-Huang @awgu @kwen2501 @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k"
"35","Floating point operations","Concurrency","Floating point operations","","","","[PR Linked Issue] Platforms: linux    This test was disabled because it is failing in CI. See [recent examples](https://hud.pytorch.org/flakytest?name=test_grad_with_manual_interleaved_ScheduleClass0_use_new_runtime_True&suite=ScheduleTest&limit=100) and the most recent trunk [workflow logs](https://github.com/pytorch/pytorch/runs/42919034022).    Over the past 3 hours, it has been determined flaky in 7 workflow(s) with 7 failures and 7 successes.    **Debugging instructions (after clicking on the recent samples link):**   DO NOT ASSUME THINGS ARE OKAY IF THE CI IS GREEN. We now shield flaky tests from developers so CI will thus be green but it will be harder to parse the logs.   To find relevant log snippets:   1. Click on the workflow logs linked above   2. Click on the Test step of the job so that it is expanded. Otherwise, the grepping will not work.   3. Grep for `test_grad_with_manual_interleaved_ScheduleClass0_use_new_runtime_True`   4. There should be several instances run (as flaky tests are rerun in CI) from which you can study the logs.        <details><summary>Sample error message</summary>  ``` Traceback (most recent call last):   File ""/opt/conda/envs/py_3.10/lib/python3.10/site-packages/torch/testing/_internal/common_distributed.py"", line 1721, in wrapper     raise rv AssertionError: Tensor-likes are not close!  Mismatched elements: 158 / 512 (30.9%) Greatest absolute difference: 0.0002696812152862549 at index (331,) (up to 4e-05 allowed) Greatest relative difference: 0.09954891353845596 at index (176,) (up to 1e-05 allowed)  To execute this test, run the following from the base repo dir:     python test/distributed/pipelining/test_schedule_multiproc.py ScheduleTest.test_grad_with_manual_interleaved_ScheduleClass0_use_new_runtime_True  This message can be suppressed by setting PYTORCH_PRINT_REPRO_ON_FAILURE=0 ```  </details>     Test file path: `distributed/pipelining/test_schedule_multiproc.py`    For all disabled tests (by GitHub issue), see https://hud.pytorch.org/disabled.  cc @H-Huang @awgu @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @clee2000"
"38","Floating point operations","Floating point operations","Randomness","","","","[PR Linked Issue] ```  Falsifying example: test_gpu_data_iterator(      n_samples_per_batch=57, n_features=1, n_batches=9, subsample=False,  )  ```    It's caused by one different element in the generated cuts.  We need to change the test to adapt to the differences in the models."
